Company Name: Acknit Industries Ltd, Sector: Textiles, Industry: Textiles - Products,
Company Name: Auro Impex & Chemicals Ltd, Sector: Capital Goods-Non Electrical Equipment, Industry: Electrodes - Welding Equipment,
Company Name: Ultra Wiring Connectivity Systems Ltd, Sector: Auto Ancillaries, Industry: Auto Ancillaries,
Company Name: Bang Overseas Ltd, Sector: Trading, Industry: Trading,
Company Name: Indobell Insulations Ltd, Sector: Plastic products, Industry: Plastics Products,
Company Name: Narmada Agrobase Ltd, Sector: Miscellaneous, Industry: Miscellaneous,
Company Name: Jamshri Realty Ltd, Sector: Realty, Industry: Construction,
Company Name: Sheetal Universal Ltd, Sector: FMCG, Industry: Food - Processing - Indian,
Company Name: Dhanashree Electronics Ltd, Sector: Capital Goods - Electrical Equipment, Industry: Electric Equipment,
Company Name: Durlax Top Surface Ltd, Sector: Miscellaneous, Industry: Miscellaneous,
Company Name: Apoorva Leasing Finance & Investment Co Ltd, Sector: Finance, Industry: Finance & Investments,
Company Name: Gujarat Craft Industries Ltd, Sector: Packaging, Industry: Packaging,
Company Name: Porwal Auto Components Ltd, Sector: Auto Ancillaries, Industry: Auto Ancillaries,
Company Name: Dhampure Speciality Sugars Ltd, Sector: Sugar, Industry: Sugar,
Company Name: New Light Apparels Ltd, Sector: Trading, Industry: Trading,
Company Name: Divyadhan Recycling Industries Ltd, Sector: Textiles, Industry: Textiles - Processing,
Company Name: Bombay Cycle & Motor Agency Ltd, Sector: Diversified, Industry: Diversified - Medium / Small,
Company Name: Welcast Steels Ltd, Sector: Capital Goods-Non Electrical Equipment, Industry: Abrasives And Grinding Wheels,
Company Name: Aditya Consumer Marketing Ltd, Sector: Retail, Industry: Trading,
Company Name: WOL 3D India Ltd, Sector: Trading, Industry: Trading,
Company Name: My Mudra Fincorp Ltd, Sector: Finance, Industry: Finance & Investments,
Company Name: Neelam Linens and Garments (India) Ltd, Sector: Textiles, Industry: Textiles - Products,
Company Name: Containe Technologies Ltd, Sector: Auto Ancillaries, Industry: Auto Ancillaries,
Company Name: Minal Industries Ltd, Sector: Diamond, Gems and Jewellery, Industry: Diamond Cutting / Jewellery,
Company Name: NHC Foods Ltd, Sector: Trading, Industry: Trading,
Company Name: GB Logistics Commerce Ltd, Sector: Logistics, Industry: Miscellaneous,
Company Name: Shivam Chemicals Ltd, Sector: Trading, Industry: Trading,
Company Name: Auto Pins (India) Ltd, Sector: Auto Ancillaries, Industry: Auto Ancillaries,
Company Name: Godavari Drugs Ltd, Sector: Pharmaceuticals, Industry: Pharmaceuticals - Indian - Bulk Drugs,
Company Name: JFL Life Sciences Ltd, Sector: Pharmaceuticals, Industry: Pharmaceuticals - Indian - Formulations,
Company Name: Ladderup Finance Ltd, Sector: Finance, Industry: Finance & Investments,
Company Name: Shiva Mills Ltd, Sector: Textiles, Industry: Textiles - Spinning - Synthetic / Blended,
Company Name: Lexus Granito (India) Ltd, Sector: Ceramic Products, Industry: Ceramics - Tiles / Sanitaryware,
Company Name: Viaz Tyres Ltd, Sector: Tyres, Industry: Tyres,
Company Name: Chrome Silicon Ltd, Sector: Ferro Alloys, Industry: Mining / Minerals / Metals,
Company Name: Sai Capital Ltd, Sector: Finance, Industry: Finance & Investments,
Company Name: Kanishk Steel Industries Ltd, Sector: Steel, Industry: Steel - Medium / Small,
Company Name: Amrapali Industries Ltd, Sector: Trading, Industry: Trading,
Company Name: Arshiya Ltd, Sector: Logistics, Industry: Miscellaneous,
Company Name: Celebrity Fashions Ltd, Sector: Textiles, Industry: Textiles - Products,
Company Name: Swarnsarita Jewels India Ltd, Sector: Diamond, Gems and Jewellery, Industry: Diamond Cutting / Jewellery,
Company Name: Choksi Laboratories Ltd, Sector: Miscellaneous, Industry: Miscellaneous,
Company Name: Aspira Pathlab & Diagnostics Ltd, Sector: Healthcare, Industry: Healthcare,
Company Name: Chartered Capital & Investment Ltd, Sector: Finance, Industry: Finance & Investments,
Company Name: Premium Plast Ltd, Sector: Auto Ancillaries, Industry: Auto Ancillaries,
Company Name: Shreyas Intermediates Ltd, Sector: Chemicals, Industry: Dyes And Pigments,
Company Name: McNally Bharat Engineering Company Ltd, Sector: Infrastructure Developers & Operators, Industry: Engineering - Turnkey Services,
Company Name: Cospower Engineering Ltd, Sector: Capital Goods - Electrical Equipment, Industry: Electric Equipment,
Company Name: Vishwas Agri Seeds Ltd, Sector: Miscellaneous, Industry: Miscellaneous,
Company Name: Kati patang Lifestyle Ltd, Sector: IT - Software, Industry: Computers - Software - Medium / Small,
Company Name: V.L.Infraprojects Ltd, Sector: Infrastructure Developers & Operators, Industry: Construction,
Company Name: Nacdac Infrastructure Ltd, Sector: Construction, Industry: Construction,
Company Name: Sanrhea Technical Textile Ltd, Sector: Textiles, Industry: Textiles - Processing,
Company Name: Cranex Ltd, Sector: Capital Goods-Non Electrical Equipment, Industry: Engineering,
Company Name: Vivo Bio Tech Ltd, Sector: Pharmaceuticals, Industry: Pharmaceuticals - Indian - Bulk Drugs & Formln,
Company Name: Vinny Overseas Ltd, Sector: Textiles, Industry: Textiles - Processing,
Company Name: Gujarat Poly Electronics Ltd, Sector: Trading, Industry: Trading,
Company Name: Sunil Healthcare Ltd, Sector: Miscellaneous, Industry: Miscellaneous,
Company Name: NCL Research and Financial Services Ltd, Sector: Finance, Industry: Finance & Investments,
Company Name: Pattech Fitwell Tube Components Ltd, Sector: Castings, Forgings & Fastners, Industry: Castings & Forgings,
Company Name: Capfin India Ltd, Sector: Finance, Industry: Finance & Investments,
Company Name: Vdeal System Ltd, Sector: Capital Goods - Electrical Equipment, Industry: Electric Equipment,
Company Name: Everlon Financials Ltd, Sector: Finance, Industry: Finance & Investments,
Company Name: Hariyana Ship Breakers Ltd, Sector: Ship Building, Industry: Miscellaneous,
Company Name: Sampre Nutritions Ltd, Sector: FMCG, Industry: Food - Processing - Indian,
Company Name: We Win Ltd, Sector: IT - Software, Industry: Computers - Software - Medium / Small,
Company Name: HB Stockholdings Ltd, Sector: Finance, Industry: Finance & Investments,
Company Name: Lamosaic India Ltd, Sector: Miscellaneous, Industry: Miscellaneous,
