BSE Symbol,NSE Symbol,Company Name          ,AUDITED,,,,,,,,,,LATEST QTR.,,,YEAR TO DATE,,,,,SHAREHOLDINGS,,,,MARKET RELATED DATA,,,,,Sector,*You will find NULL at many places. This for those companies that have announced their FY24 results and do not have YTD Sales or Net Profit. It is reflected in yearly numbers.
,,,Face,Month/,CEqt.,BkVal,Sales,NP,EPS,Div,D/E,RONW,LatQ,Sales,NP,Year/,Sales,Sales,NP,NP,Prom,. Pledged,Inst.,NoShold,Mkt.Cap.,Price,52 Week,Entprise,Trail.P/E,,
,,,Value,Year,Rs.Cr,Rs.,Rs.Cr.,Rs.Cr.,(Rs.),(Rs.),Ratio,(%),Year,Rs.Cr.,Rs.Cr,Month,Rs.Cr.,Growth,Rs.Cr.,Growth,(%),(%),(%),('000),Rs.Cr.,Rs.,H/L,Value,Ratio,,
,,,,,,,,,,,,,,,,,,,,,,,,,As on Date 6th Feb 2025,,,,,,
507685,WIPRO,Wipro Ltd.,2,2403,1045,64.02,89760.3,11135.4,17.45,1,0.07,15.28,2412,22318.8,3366.2,2412N,50180.1,-0.04,7900.2,18.41,72.75,0,16.02,1046.92,332031.46,317.9,596.00/280.75,334381.34,18.6,IT - Software,
500312,ONGC,Oil & Natural Gas Corporation Ltd.,5,2403,6290.14,266.39,643037.01,54704.81,32.21,12.25,0.02,14.32,2412,166096.68,10148.32,2412N,102864.06,-0.87,29162.04,-2.03,58.89,0,37.24,1258.03,329037.2,256.2,344.55/227.00,304161.38,8.26,Oil Exploration,
532215,AXISBANK,Axis Bank Ltd.,2,2403,617.31,553.26,112759.05,26423.54,80.55,1,1.31,18.07,2412,32162.2,6763.1,2412N,91434.53,14.09,19255.98,8.6,8.23,0,84.8,309.52,313731.71,1020.55,1339.55/934.00,424465.98,11.96,Bank - Private,
500114,TITAN,Titan Company Ltd.,1,2403,89,179.79,51084,3495,39.82,11,0.75,26.84,2412,17740,1047,2412N,41365,15.36,2465,-10.59,52.9,0,29.65,88.78,309881.76,3410.75,3866.15/3059.00,315331.76,93.37,Diamond  &  Jewellery,
532555,NTPC,NTPC Ltd.,10,2403,9696.67,166.11,178500.88,19696.85,17.48,7.75,1.24,12.52,2412,45052.82,4712.2,2412N,126099.05,5.56,13871.27,10.77,51.1,0,45.07,969.67,309856.96,312.75,448.30/296.85,488847.39,16.7,Power Generation/Distribution,
532978,BAJAJFINSV,Bajaj Finserv Ltd.,1,2403,159.41,52.07,110381.91,15587.27,7.34,1,0,21.14,2412,32041.81,4408.79,2412N,2197.04,32.7,1551.3,33.48,60.64,0.01,16.32,159.67,286816.39,1787.35,2029.00/1419.00,286806.59,182.88,Finance - Investment,
512599,ADANIENT,Adani Enterprises Ltd.,1,2403,114,194.62,96420.98,3294.63,24.94,1.3,0.34,18.6,2412,22848.42,-16.54,2412N,20544.43,-35.5,1764.84,-14.64,73.97,0.67,18.34,115.42,268318.17,2311,3743.00/2030.00,276807.02,103.46,Trading,
532898,POWERGRID,Power Grid Corporation Of India Ltd.,10,2403,9300.6,102.4,45843.1,15592.71,17.14,11.25,1.42,18.12,2412,11233.03,3866.72,2412N,30448.94,-3.44,11017.4,-2.9,51.34,0,45.13,930.06,265206.71,281.25,366.20/257.75,382132.81,17.34,Power Generation/Distribution,
500570,TATAMOTORS,Tata Motors Ltd.,2,2403,766.5,87.02,437927.77,31106.95,20.62,6,0.46,30.12,2412,113575,5616,2412N,49420,-6.83,4071,-29.51,42.58,0,35.47,368.11,264014.9,709.55,1179.05/684.25,275373.88,43.34,Automobiles-Trucks/Lcv,
541154,HAL,Hindustan Aeronautics Ltd.,5,2403,334.39,464.81,30381.08,7594.45,113.57,22,0,28.9,2409,5976.29,1498.46,2409H,10324.12,8.09,2925.95,42.76,71.64,0,20.41,66.88,255187.83,3772,5675.00/2826.00,226287.6,34.95,Defence,
540376,DMART,Avenue Supermarts Ltd.,10,2403,650.73,331.87,50788.83,2535.61,41.41,0,0,15.09,2412,15972.55,723.54,2412N,43327.42,16.66,2307.47,10.37,74.65,0,17.1,65.07,251550.63,3749.05,5484.00/3400.00,251290.32,83.79,Retailing,
532977,BAJAJ-AUTO,Bajaj Auto Ltd.,10,2403,279.18,1054.04,44870.43,7440.65,267.88,80,0.04,29.84,2412,13168.88,2195.65,2412N,37862.34,14.04,6102.11,10.09,55.04,0,22.51,27.93,249357.51,8835,12772.20/7666.25,249203.92,30.69,Automobile Two & Three Wheelers,
